nombre_editor,ID_editor
MLB.com,546
Fortyfive,547
2K Games,548
Endless Loop Studios,549
Kamui,550
Tryfirst,551
NetRevo,552
Sega,553
2K Play,554
QCF Design,555
Digital Tribe Games,556
Coleco,557
Outright Games,558
Gameloft,559
Paon Corporation,560
ITT Family Games,561
Saga Planets,562
Naxat Soft,563
Neognosis,564
7G//AMES,565
Takara,566
Game Arts,567
Indimo Labs LLC,568
General Entertainment,569
Bandai,570
Blast! Entertainment Ltd,571
Rondomedia,572
Batterystaple Games,573
Psyonix Studios,574
Rusty Lake,575
Gaga,576
Triumph Studios,577
O-Games,578
Pinnacle,579
Biart Design Studio,580
Sekai Project,581
Alchemist,582
Black Pearl,583
Mediascape,584
City Interactive,585
Media Works,586
Hitcents,587
Aksys Games,588
Ripcord Games,589
Lasta Dan Publisher,590
Runic Games,591
Wolfgame,592
Shiro Games,593
Giga,594
The Astronauts,595
5pb,596
Zoo Games silver,597
ARUSH Entertainment,598
1C Company,599
Sunsoft,600
Hammerfall Publishing,601
Nintendo,602
Eidos Interactive Ltd,603
Inti Creates,604
Studio MDHR,605
Answer Software,606
E-Line Media,607
Indie Voyage,608
Yumedia,609
honeybee,610
Dan Walters,611
Invisible Handlebar,612
Milestone,613
Dark Energy Digital,614
3f Interactive,615
Three Flip Studios,616
Big Sandwich Games,617
Versus Evil,618
Enlight,619
Valve Software,620
Team17 Digital Ltd,621
PM Studios,622
Takuyo,623
Qute,624
Panasonic Interactive Media,625
Ready at Dawn,626
MTV Games,627
Enterbrain,628
Funcom,629
HuneX,630
Villa Gorilla,631
Haydee Interactive,632
Beatnik Games,633
Misawa,634
Nippon Amuse,635
Crackshell,636
iMel,637
GSC Game World,638
Facepalm Games,639
Funselektor Labs Inc.,640
Harukaze,641
Hasbro Interactive,642
Mumbo Jumbo,643
Aques,644
The Fun Pimps,645
NewKidCo,646
Icy Studios,647
Facepunch Studios,648
OneBigGame,649
Hothead Games,650
505 Games,651
Electronic Arts,652
"Genius Products, Inc.",653
Locus,654
Westwood Studios,655
U&I Entertainment,656
Otomate Idea Factory,657
AwesomeBlade,658
Williams Entertainment,659
AGM Playism,660
New,661
Excalibur Publishing Limited,662
Bigben Interactive,663
Synnergy Circle Games,664
CDV Software Entertainment,665
Gun Media,666
Mentor Interactive,667
Jorudan,668
Owlchemy Labs,669
TDK Core,670
Merge Games,671
Genki,672
704Games,673
Media Entertainment,674
Cadenza Interactive,675
Karin Entertainment,676
White Dog,677
Big Ben Interactive,678
Coconuts Japan,679
Michaelsoft,680
PopCap Games,681
Tecmo,682
Independent,683
Empire Interactive,684
DoubleBear Productions,685
Rising Star,686
Good Shepherd Entertainment,687
