Desarrollador,ID_desarrollador
Pivotal Games,506
Shockwave Productions,507
Angel Studios,508
Grip Games,509
Aisystem Tokyo,510
Mystic Software,511
Skipmore,512
Colossal Order,513
Zed Two Limited,514
Master Creating,515
Reloaded Productions,516
Origin Systems,517
Compulsion Games,518
Splash Damage,519
Nippon Telenet,520
exozet games,521
Haemimont Games,522
Venan Entertainment / Cashmere Productions,523
Playbox Limited,524
Rodeo Games,525
Silent Software Inc.,526
Neon Studios,527
"Page 44 Studios, LLC",528
Team Bondi,529
SunSoft,530
Guerrilla Games,531
"Realtime Associates, Inc.",532
Gaslamp Games,533
Metro,534
Red Hook Studios,535
WolfgangIs,536
GAIA,537
United Game Artists,538
Midas Interactive Entertainment,539
KCE Sapporo,540
Blue Byte,541
Allicorn Games,542
Mistwalker Corporation / Feelplus Inc.,543
Activision,544
Aspect,545
Press Start Inc.,546
Creative Mesh,547
Team GrisGris,548
Tragnarion Studios,549
Q Entertainment,550
Nintendo R&D2,551
Nintendo EAD / Retro Studios,552
Ostrich Banditos,553
Time Warner Interactive,554
BudCat Games,555
Mobile 21,556
Spike Co.,557
Kuusou Kagaku,558
5 Bits Games,559
Smilebit,560
TYO,561
Weappy Studio,562
"Mossmouth, LLC",563
Tigon,564
Game Titan,565
Loose Cannon Studios,566
Capcom?�Production?�Studio?�1,567
Midway Games West,568
Image & Form Games,569
Terrible Posture Games,570
Helixe / Altron,571
Metanet Software Inc.,572
Light,573
Deep Red Games,574
Triternion,575
Games Workshop,576
Pendulo Studio,577
Jaleco Entertainment,578
Culture Brain,579
Blazing Lizard,580
Killer Game,581
EA Digital Illusions CE,582
Giants Software,583
Black Sea Studios,584
Koei Canada,585
Take-Two Interactive,586
Nurijoy,587
Lavaboots Studios,588
SUPERHOT Team,589
Climax Group / ImaginEngine,590
Bit Blot,591
4HEAD Studios,592
Free Lives Games,593
Sucker Punch Productions,594
Kure,595
Sennari Interactive,596
Climax Group Inc.,597
Toadman Interactive,598
Level 5,599
Nordic Games,600
Aquaplus,601
Anchor Bay Entertainment,602
Wired Productions,603
QUICKTEQUILA,604
Dodge Roll,605
Team6 Game Studio,606
Sting,607
Foundation 9 Entertainment,608
3 O'Clock,609
Byking,610
Net Corporation,611
Klei Entertainment,612
Adrenalin Interactive,613
Sony Computer Entertainment,614
GN Software,615
Colibri Games,616
SCEE London Studio,617
Tri-Crescendo,618
Digital Embryo,619
EA Japan Studio,620
Eighting/Raizing,621
Probe Entertainment Limited,622
Tamsoft,623
Atlus Co. / Lancarse,624
Punchline / Shirogumi,625
Metro3D,626
Blacklight Interactive,627
Xing Entertainment,628
Harmonix Music Systems,629
Two Tribes,630
Nintendo R&D1 / Intelligent Systems,631
Strawdogs Studios Limited,632
Genterprise,633
Black Ship Games,634
Human Soft,635
KCE Studios,636
ArtwareGames Inc.,637
"Creatures, Inc.",638
Katauri Interactive,639
Funbox Media,640
Hyde,641
Factor 5,642
Digitial Creations,643
777 Studios,644
RIZ Inc.,645
Nihon Bussan,646
Nintendo SPD Group No.1,647
Fucom,648
Fall Line Studio,649
Full-Fat,650
Bergsala Lightweight,651
MoaCube,652
Day 1 Studios,653
Quadro Delta,654
Slippery Snake Studios,655
Alvion Inc.,656
CtrlMovie,657
Magellan Interactive,658
Wizard Video Games,659
Extended Play Productions,660
Parker Bros,661
KSS,662
Hit Maker,663
Game Atelier,664
Robomodo / Buzz Monkey Software,665
Darkling Room,666
Virgin Interactive,667
Cunning Developments,668
"YGGDRAZIL GROUP CO.,LTD",669
Realtime Worlds,670
Artificial?�Mind?�&?�Movement,671
The Pitbull?�Syndicate?�Limited,672
id Software / Raven Software,673
Axis Entertainment,674
Turn 10 Studio,675
Unique Development Studios Sweden,676
Vanpool,677
Nordcurrent,678
Smart Bomb Interactive,679
Capcom Entertainment,680
SingleTrac,681
Shiver Games,682
The Gentlebros,683
Matatabi,684
Ntreev Soft,685
Midway Studios Austin,686
Powerhoof,687
Midway Studios  Austin,688
Al,689
3G Studios,690
Incognito Entertainment,691
Will,692
Chime,693
Supergonk,694
Idol Minds,695
A1 Games,696
Milestone S.r.l.,697
Flying Lab Software,698
Art,699
Kazakov Oleg,700
Choice Provisions,701
Tripwire Interactive,702
@unepic_fran,703
Acclaim?�Studios?�Austin,704
"Imagineer Co., Ltd.",705
Good-Feel,706
Youda Games,707
Psygnosis,708
1C:Ino-Co,709
Looking Glass Studios,710
13AM Games,711
Psikyo,712
Bitmap Brothers,713
Teotl Studios,714
kChamp Games,715
Neocore Games,716
Her Interactive,717
Luxoflux Corp.,718
Isopod Labs,719
Intense,720
"in-glove Co., ltd",721
MuuMuu,722
ShanBlue,723
Kerberos Productions,724
Escape,725
Judo Baby,726
Just For Fun Studios,727
Sculptured Software,728
Silver Dollar Games,729
C's Ware,730
"The Neverhood, Inc.",731
2SD,732
Leviathan Games,733
Pyramid,734
Jaleco,735
Krome Studios,736
Crystal Dynamics,737
Rebellion Games,738
"BeeWorks Co., Ltd",739
Novarama,740
dtp entertainment AG,741
XPEC Entertainment,742
Backbone Emeryville,743
Gears for Breakfast,744
"CyberPlanet Interactive Public Co., Ltd.",745
Novotrade International,746
Sorath,747
"IronNos Co., Ltd.",748
Dimps Corporation / Sonic Team,749
Big Fish Games,750
"extreme Co.,Ltd.",751
SilverBirch Studios,752
Dreams,753
Vivid Image,754
Delta Factory,755
"Ikusabune Inc. / Positron Co., Ltd",756
Behold Studios,757
Maximum Games,758
GRC,759
Neurostone,760
Millennium Interactive,761
Real Dynamics,762
I'Max,763
Sunflowers Interactive,764
Kush Games,765
zSlide,766
David OReilly,767
Neversoft,768
The Mustard Corporation,769
Asmik Ace Entertainment,770
Team Indev,771
Monochrome Corporation,772
Untold Games,773
Swordfish Studios,774
"Machatin, Inc.",775
Toy Box Studios,776
Digital Kids,777
Team17 Software,778
Cryptic Studios,779
Zen Studios,780
Phenomedia,781
Iceflake Studios,782
Awesome Play Ltd.,783
The Farm 51,784
Virtuacraft,785
Laminar Research,786
Astragon,787
Ice Flames,788
AQUA STYLE,789
Sonnet,790
Bongfish GmbH,791
Agate Studio,792
Revolution Software Ltd.,793
Agatsuma Entertainment,794
Odenis Studio,795
Akella,796
TU Wien,797
Sluggerfly,798
Tilted Mill Entertainment,799
Related Designs,800
LSP,801
Mistwalker Corporation / Artoon,802
Destination,803
Midway Studios Los Angeles,804
Carbine Studios,805
Zipper Interactive,806
Gray Matter Studios / Nerve Software,807
Crytek,808
Kinelco|Lone Elk Creative,809
MachineGames,810
Gorilla Games,811
Black Rock Studio,812
AKI Corporation / EA Canada,813
Micronics,814
Tequila Works,815
Interplay,816
Dunhill Electronic Media Corp,817
MAGES,818
SCE,819
Sick Puppies,820
M2,821
Deep Silver,822
Milestone S.r.l,823
Scarab,824
Flying Tiger Entertainment,825
Anchor,826
Thomas Happ Games,827
Plato,828
HAL Laboratory,829
Square,830
AOne Games,831
Ecole,832
Darkblack,833
Bullfrog Productions,834
8ing/Raizing,835
Pathea Games,836
EC Interactive,837
Team17 Software / Two Tribes,838
GameMill,839
38 Studios,840
Gaijin Games,841
Ubisoft Nagoya,842
Media Factory,843
Konami,844
PENCIL,845
Acclaim Studios Cheltenham,846
Engine Software,847
Priority Interrupt,848
Bethesda Game Studios,849
Sproing Interactive Media,850
"Flagship Co., Ltd. / Nintendo EAD",851
Peace,852
Prograph,853
Navarre Corporation,854
WayForward,855
Golgoth Studio,856
n-Space,857
Eden Games,858
Capcom,859
Glaiel Games,860
Double Tap,861
Anino Entertainment,862
Hypnos,863
Piranha Bytes,864
Zoo Digital Publishing,865
Nude Maker,866
High Voltage Software / Ubisoft Paris,867
Monster Games Inc.,868
Art Corporation,869
Player 1,870
Sumo Digital,871
Creat Studios,872
BattleBorne,873
Yeti,874
Suzak,875
ZeniMax Online Studios,876
WXP,877
Humagade,878
Wolf Team,879
Dreamcatcher,880
Alternative Software,881
Chronic Logic,882
Hourences,883
"Webfoot Technologies, Inc.",884
OUAT Entertainment,885
Japan Art Media,886
LKA,887
Empire Oxford,888
N-Fusion Interactive Entertainment Corp.,889
Evolution Games,890
BushiRoad,891
SquareSoft,892
Zuxxez,893
Neversoft Entertainment / Rebellion,894
Vanillaware,895
Infinity,896
Zen Studios Inc.,897
"Will Co., Ltd. Noisycroak",898
Hello Games,899
Kadokawa Shoten,900
August,901
Impressions Games,902
"Sculptured Software, Inc.",903
ZOV GAME STUDIO,904
Princess Soft,905
team BitClub,906
Vridge,907
PagodaWest Games,908
Powerhead Games,909
Rockstar North,910
Dejobaan Games,911
Lupinus,912
Poponchi,913
LvivMedia,914
Red Storm Entertainment,915
Fluid Studios,916
Kalisto,917
Wish Studio,918
Techland,919
Point of View,920
BELUGA Computer Inc.,921
MagicWand,922
Everlasting Fantasy,923
Infusion Games Ltd,924
Longtail Studios,925
Uppercut Games,926
"Human Soft, Inc.",927
Q Entertainment / Phantagram,928
Bullet Proof Software,929
Virtuos / Game Source,930
Bizarre Creations,931
Santa Cruz Games,932
Dreams Interactive,933
Silver Wish Games,934
Sunight Games,935
Cat Daddy Games,936
Creatures Inc.,937
Fatshark,938
Cipher Prime,939
Sixteen Tons Entertainment,940
Scientifically Proven,941
RockNanoGlobal,942
Messhof,943
Flagship Studios,944
Square Enix / Think and Feel Inc.,945
Digital Illusions,946
Edmund McMillen,947
Polykid,948
Navarre Corp,949
Storm City Games,950
Kung Fu Factory,951
Historia,952
FreeStyle Games,953
Dorasu,954
Zachtronics Industries,955
Bethesda Softworks,956
La'cryma,957
Konami Computer Entertainment Tokyo,958
Big Ape Productions,959
Agenda,960
Nerjyzed Entertainment,961
Creative Core,962
"Konami Digital Entertainment, Inc.",963
"Williams Electronic Games, Inc.",964
Capcom Production Studio 2,965
Megadev,966
Talking Stick Games,967
Ready at Dawn Studios,968
Capcom Production Studio 6,969
Frogwares,970
Gorilla Systems,971
Cauldron,972
RedLynx,973
Magic Wand Productions,974
Zindagi Games,975
Omega Force / Koei Canada,976
Witch Craft,977
Lightning Fish,978
SCEA,979
California Seven Studios,980
Hopoo Games,981
Tomy Corporation,982
Tiwak SAS,983
JAKKS Pacific,984
Lesley Dodd,985
Deck Nine,986
Mayhem Studios,987
Falcom,988
Etranges Libellules,989
Paradigm Entertainment Inc.,990
Incognito Inc.,991
Colossai Studio,992
Lince Works,993
Lexis Numerique,994
ValuSoft,995
C-Lab,996
Freakzone Games,997
Mineloader Software,998
Tri Synergy,999
Studio Saizensen,1000
fupac,1001
Amazing Studios,1002
Juice Games,1003
Iguana Entertaiment,1004
PlatinumGames,1005
Bandai Namco Studios,1006
Marvelous,1007
1st Playable,1008
ArtePiazza,1009
Amaze Entertainment / Griptonite Games,1010
Blue 52,1011
ParaPhray,1012
VIVARIUM Inc.,1013
RED Company,1014
People Can Fly,1015
Saffire Corporation,1016
"Cavia, inc.",1017
IO Interactive,1018
Little Orbit,1019
Melbourne House,1020
Ninja Studio,1021
Sega-AM1,1022
4J Studios,1023
Crafts & Meister,1024
Versus System,1025
TGL,1026
Digtal Illusions,1027
Legacy Interactive,1028
Enix,1029
Gaming Minds Studios,1030
Awesome Developments,1031
Sankyo,1032
Freedom Factory Studios,1033
Nicalis,1034
Sega-AM2,1035
Prototype,1036
Doublesix,1037
"Viva Media, LLC",1038
Black Forest Games,1039
Hookstone Productions,1040
ROIGAMES Inc.,1041
Monolith Productions,1042
Cinegroupe,1043
Syangrila,1044
Headup Games,1045
Blizzard Entertainment,1046
3D Realms,1047
Unit,1048
Tenco,1049
VITEI,1050
Future Games,1051
Paradox Development,1052
"Xatrix Entertainment, Inc.",1053
Studio Fizbin,1054
"Sand Grain Studios, Magic Wand Productions, FUN Labs",1055
Team Fusion,1056
Blastoid Entertainment,1057
Nitroplus,1058
Ubisoft Sofia,1059
Silent Dreams,1060
TimeGate Studios,1061
Human Soft / Ivolgamus,1062
EA Bright Light Productions,1063
Incredible Technologies,1064
1C Maddox Games,1065
Cyanide Studios,1066
Independent Arts Software,1067
Electronic Arts Casual Studios,1068
Gravity-I,1069
FuRyu Corporation,1070
Squashy Software,1071
LightWeight,1072
Capybara Games,1073
EurocoEntertainment Software,1074
RailSimulator.com,1075
"HotGen, Ltd.",1076
Micronet,1077
Rob Howland,1078
System 3,1079
Digital Eclipse Software,1080
iWin,1081
BIP Games,1082
Cliffhanger Productions,1083
Denki,1084
Aquria,1085
PlatinumGames / Nude Maker,1086
Pipliz,1087
Boss Alien Ltd.,1088
Teyon,1089
Harvester Games,1090
Velez & Dubail,1091
Masque Publishing,1092
Tomy,1093
Game Brains,1094
Pyramid/JAPAN Studio,1095
Digital Fiction,1096
Data East,1097
Renegade Kid,1098
The Neverhood,1099
Impulse Gear,1100
Walter Machado,1101
Housemarque,1102
Teeny Weeny Games,1103
TheMeatly Games,1104
IllFonic,1105
Pterodon,1106
Nikitova Games,1107
Ganbarion,1108
Racing Bros,1109
Sega-AM7,1110
Dagestan Technology,1111
ArtDink,1112
Pocketeers,1113
Edios Interactive,1114
"Awesome Developments, Ltd.",1115
Rocket Studios,1116
Nintendo EAD / Q-Games,1117
The Quantum Astrophysicists Guild,1118
"HAL Laboratory, Flagship",1119
Jackbox Games,1120
Zenrin,1121
"Next Level Games, Inc.",1122
Celeris,1123
Crave,1124
Miwashiba,1125
Team Cherry,1126
Smudged Cat Games,1127
Tenyo,1128
Infogrammes Studios,1129
Fish Factory Games,1130
Quebec City,1131
Catnip Games,1132
Metia Interactive,1133
GRIN,1134
Endless Loop Studios,1135
WildTangent,1136
V Jump / Square Enix,1137
Sproing Interactive Media GMBH,1138
Rainbow Studio,1139
VCC Entertainment,1140
Running With Scissors,1141
Rhino Studios,1142
Red Candle Games,1143
Palm Development,1144
Savage Entertainment,1145
Turn 10,1146
Bandai,1147
Intelligent Systems,1148
Daylight Studios,1149
Contrail,1150
